date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:15	545/545	---M--	200	added ('OK')	image/png	etag:%22221-572cd3e32e941%22	https://controller.access.network/101/portal/resources/_images/flags/de.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/de.png	(from https://controller.access.network/101/portal/)
14:13:16	599/599	---M--	200	added ('OK')	image/png	etag:%22257-572cd3e3039bf%22	https://controller.access.network/101/portal/resources/_images/flags/en.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/en.png	(from https://controller.access.network/101/portal/)
14:13:16	469/469	---M--	200	added ('OK')	image/png	etag:%221d5-572cd3e323d60%22	https://controller.access.network/101/portal/resources/_images/flags/es.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/es.png	(from https://controller.access.network/101/portal/)
14:13:16	420/420	---M--	200	added ('OK')	image/png	etag:%221a4-572cd3e319180%22	https://controller.access.network/101/portal/resources/_images/flags/it.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/it.png	(from https://controller.access.network/101/portal/)
14:13:17	453/453	---M--	200	added ('OK')	image/png	etag:%221c5-572cd3e31fee0%22	https://controller.access.network/101/portal/resources/_images/flags/nl.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/nl.png	(from https://controller.access.network/101/portal/)
14:13:17	554/554	---M--	200	added ('OK')	image/png	etag:%2222a-572cd3e30e59f%22	https://controller.access.network/101/portal/resources/_images/flags/pt.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/pt.png	(from https://controller.access.network/101/portal/)
14:13:17	374/374	---M--	200	added ('OK')	image/png	etag:%22176-572cd3e311480%22	https://controller.access.network/101/portal/resources/_images/flags/pl.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/pl.png	(from https://controller.access.network/101/portal/)
14:13:18	472/472	---M--	200	added ('OK')	image/png	etag:%221d8-572cd3e3356a1%22	https://controller.access.network/101/portal/resources/_images/flags/cn.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/cn.png	(from https://controller.access.network/101/portal/)
14:13:18	355/355	---M--	200	added ('OK')	image/png	etag:%22163-572cd3e326c40%22	https://controller.access.network/101/portal/resources/_images/flags/cn_TW.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/cn_TW.png	(from https://controller.access.network/101/portal/)
14:13:27	385/385	---M--	200	added ('OK')	image/png	etag:%22181-572cd3e2f8ddf%22	https://controller.access.network/101/portal/resources/_images/flags/ar.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/ar.png	(from https://controller.access.network/101/portal/)
14:13:28	592/592	---M--	200	added ('OK')	image/png	etag:%22250-572cd3e30a71f%22	https://controller.access.network/101/portal/resources/_images/flags/ko.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/ko.png	(from https://controller.access.network/101/portal/)
14:13:28	420/420	---M--	200	added ('OK')	image/png	etag:%221a4-572cd3e2fbcbf%22	https://controller.access.network/101/portal/resources/_images/flags/ja.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/ja.png	(from https://controller.access.network/101/portal/)
14:13:32	452/452	---M--	200	added ('OK')	image/png	etag:%221c4-572cd3e32aac1%22	https://controller.access.network/101/portal/resources/_images/flags/th.png	C:/Users/William/Desktop/Projet%20Alpha/Projet%20Alpha/controller.access.network/101/portal/resources/_images/flags/th.png	(from https://controller.access.network/101/portal/)
